2theta,Experimental
30.0009,341.25
30.0208,263.33
30.0408,325.6
30.0607,417.02
30.0807,450.67
30.1006,387.85
30.1205,275.93
30.1405,311.55
30.1604,346.85
30.1804,393.16
30.2003,399.72
30.2202,324.17
30.2402,399.7
30.2601,375.48
30.2801,296.78
30.3,353.35
30.32,372.9
30.3399,317.99
30.3598,327.57
30.3798,325.05
30.3997,322.65
30.4197,366.77
30.4396,364.51
30.4596,243.73
30.4795,250.49
30.4994,473.78
30.5194,366.61
30.5393,333.7
30.5593,304.79
30.5792,373.47
30.5991,323.6
30.6191,248.78
30.639,203.98
30.659,237.13
30.6789,272.29
30.6989,424.45
30.7188,445.1
30.7387,317.62
30.7587,311.51
30.7786,370.33
30.7986,361.76
30.8185,256.31
30.8384,308.84
30.8584,343.95
30.8783,353.58
30.8983,236.39
30.9182,345.1
30.9382,290.45
30.9581,424.51
30.978,335.19
30.998,378.15
31.0179,280.79
31.0379,295.18
31.0578,322.65
31.0778,323.56
31.0977,389.5
31.1176,278.21
31.1376,246.42
31.1575,249.2
31.1775,309.19
31.1974,261.49
31.2173,259.45
31.2373,217.17
31.2572,350.99
31.2772,361.91
31.2971,270.96
31.3171,272.73
31.337,358.21
31.3569,339.41
31.3769,413.66
31.3968,312.24
31.4168,313.21
31.4367,325.11
31.4566,322.07
31.4766,310.12
31.4965,334.73
31.5165,235.9
31.5364,282.85
31.5564,352.18
31.5763,240.11
31.5962,239.27
31.6162,266.54
31.6361,436.84
31.6561,380.96
31.676,144.06
31.696,261.23
31.7159,297.28
31.7358,314.01
31.7558,252.31
31.7757,175.92
31.7957,217.2
31.8156,223.65
31.8355,239.68
31.8555,304.76
31.8754,283.81
31.8954,354.2
31.9153,380.49
31.9353,337.9
31.9552,296.57
31.9751,353.39
31.9951,269.94
32.015,310.25
32.035,376.26
32.0549,317.17
32.0748,274.9
32.0948,230.86
32.1147,260.75
32.1347,300.16
32.1546,211.7
32.1746,203.22
32.1945,255.39
32.2144,273.96
32.2344,333.32
32.2543,284.09
32.2743,303.5
32.2942,278.34
32.3142,265.03
32.3341,213.15
32.354,283.88
32.374,248.7
32.3939,385.34
32.4139,364.04
32.4338,186.75
32.4537,276.1
32.4737,342.98
32.4936,260.57
32.5136,185.65
32.5335,331.2
32.5535,347.67
32.5734,265.78
32.5933,256.96
32.6133,221.85
32.6332,202.52
32.6532,266.99
32.6731,360.52
32.693,444.67
32.713,250.76
32.7329,347.17
32.7529,383.76
32.7728,340.73
32.7928,272.46
32.8127,317.74
32.8326,239.17
32.8526,235.83
32.8725,231.56
32.8925,258.33
32.9124,278.33
32.9324,311.45
32.9523,251.58
32.9722,247.37
32.9922,308.6
33.0121,320.53
33.0321,305.29
33.052,354.2
33.0719,332.05
33.0919,303.51
33.1118,280.46
33.1318,316.27
33.1517,302.17
33.1717,216.04
33.1916,230.01
33.2115,193.27
33.2315,194.85
33.2514,396.59
33.2714,186.84
33.2913,262.96
33.3112,276.37
33.3312,334.14
33.3511,361.78
33.3711,363.11
33.391,253.34
33.411,302.75
33.4309,249.49
33.4508,259.52
33.4708,184.81
33.4907,163.67
33.5107,332.71
33.5306,277.55
33.5506,179.63
33.5705,240.61
33.5904,304.95
33.6104,163.09
33.6303,245.39
33.6503,260.34
33.6702,241.39
33.6901,235.47
33.7101,143.76
33.73,228.68
33.75,328.95
33.7699,274.41
33.7899,238.67
33.8098,322.07
33.8297,280.58
33.8497,156.19
33.8696,247.64
33.8896,250.17
33.9095,188.74
33.9294,334.09
33.9494,297.6
33.9693,304.78
33.9893,171.24
34.0092,209.4
34.0292,229.48
34.0491,217.1
34.069,283.25
34.089,234.51
34.1089,307.68
34.1289,271.24
34.1488,227.74
34.1688,254.48
34.1887,280.23
34.2086,289.51
34.2286,219.44
34.2485,250.04
34.2685,202.91
34.2884,150.28
34.3083,271.16
34.3283,307.28
34.3482,229.18
34.3682,208.21
34.3881,294.91
34.4081,378.84
