Element,Atomic_number,Mass,Mass_Norm,Atom,Campione
Carbon,6,"0.00","0.00","0.00",1
Aluminium,13,"0.00","0.00","0.00",1
Silicon,14,"0.47","0.49","0.97",1
Chromium,24,"24.52","25.46","27.25",1
Iron,26,"59.17","61.42","61.21",1
Nikel,28,"8.49","8.81","8.35",1
Molybdenum,42,"3.67","3.81","2.21",1
Carbon,6,0,"0.00","0.00",2
Aluminium,13,0,"0.00","0.00",2
Silicon,14,"0.43","0.45","0.90",2
Chromium,24,"24.45","25.49","27.28",2
Iron,26,"59.34","62.86","61.63",2
Nikel,28,"8.13","8.47","8.03",2
Molybdenum,42,"3.57","3.72","2.13",2
Carbon,6,"0.00","0.00","0.00",3
Aluminium,13,"0.00","0.00","0.00",3
Silicon,14,"0.43","0.45","0.89",3
Chromium,24,"24.27","25.38","27.16",3
Iron,26,"59.29","62.00","61.78",3
Nikel,28,"8.07","8.44","8.00",3
Molybdenum,42,"3.57","3.73","2.16",3
